trading_symbol,exchange_token
JARO-EQ,759951
WELSPUNLIV-EQ,11253
SMSPHARMA-EQ,14329
RKDL-EQ,20950
MANUGRAPH-EQ,13572
RANASUG-EQ,2837
RTNINDIA-EQ,27297
CREATIVEYE-EQ,9384
TORNTPOWER-EQ,13786
DJML-EQ,12749
PATINTLOG-EQ,15219
JUBLFOOD-EQ,18096
INSECTICID-EQ,14657
SENSEXIETF-EQ,4378
AUTOIND-EQ,14106
TNPL-EQ,3980
POWERINDIA-EQ,18457
SILVER360-EQ,756150
NETWORK18-EQ,14111
GEECEE-EQ,13658
APOLLOTYRE-EQ,163
DNAMEDIA-EQ,641
BAJAJHCARE-EQ,6863
ACUTAAS-EQ,5578
SUNDARMFIN-EQ,3339
LICNMID100-EQ,22722
ASTERDM-EQ,1508
SMLMAH-EQ,3387
S&SPOWER-EQ,2951
CHEMFAB-EQ,2799
MOSILVER-EQ,758457
MNC-EQ,10676
TOTAL-EQ,22423
ROSSTECH-EQ,27353
RAYMONDREL-EQ,758551
ABSLPSE-EQ,23806
LOYALTEX-EQ,10590
GREENPLY-EQ,3987
ASTRAL-EQ,14418
NIACL-EQ,399
TSFINV-EQ,2183
GALAXYSURF-EQ,1315
GLOBUSSPR-EQ,17424
GOLDIAM-EQ,11971
VARDMNPOLY-EQ,3646
SEJALLTD-EQ,7091
GILT10BETA-EQ,22524
NDTV-EQ,11427
INOXINDIA-EQ,20607
MARINE-EQ,1328
INDIACEM-EQ,1515
ANUHPHR-EQ,28314
RHIM-EQ,31163
WINDLAS-EQ,5366
EPACK-EQ,22463
KPRMILL-EQ,14912
HESTERBIO-EQ,7048
PREMEXPLN-EQ,17397
WEWIN-EQ,9862
UPL-EQ,11287
SALZERELEC-EQ,11399
MURUDCERA-EQ,2313
BHAGERIA-EQ,13400
ICICIPRULI-EQ,18652
CENTURYPLY-EQ,13305
STEELXIND-EQ,21339
SILGO-EQ,2492
TAJGVK-EQ,9354
BANKIETF-EQ,11037
RAYMONDLSL-EQ,25073
VINYLINDIA-EQ,16821
AFSL-EQ,13288
CANHLIFE-EQ,759477
ITDC-EQ,19299
EIMCOELECO-EQ,4040
UNIVPHOTO-EQ,17659
PROSTARM-EQ,758173
SHREDIGCEM-EQ,3099
NPBET-EQ,12978
CENTRALBK-EQ,14894
HDFCNIF100-EQ,10633
SHYAMMETL-EQ,4693
BPCL-EQ,526
MAZDOCK-EQ,509
SUNTECK-EQ,17641
EASEMYTRIP-EQ,2792
DELPHIFX-EQ,24391
NCLIND-EQ,14490
GTL-EQ,1162
AUTOBEES-EQ,7880
NYKAA-EQ,6545
ISHANCH-EQ,30249
EXICOM-EQ,22947
ORIENTCER-EQ,13111
DCW-EQ,817
SHANTIGOLD-EQ,758002
TCIEXP-EQ,19223
BOMDYEING-EQ,513
NATCAPSUQ-EQ,29583
SMCGLOBAL-EQ,2320
ANANDRATHI-EQ,7145
PARKHOSPS-EQ,760351
SADBHIN-EQ,10618
SUPRIYA-EQ,7390
NITINSPIN-EQ,13175
MAHAPEXLTD-EQ,5239
HGM-EQ,13592
DPWIRES-EQ,16900
ZENITHSTL-EQ,14562
SUNDRMBRAK-EQ,4179
BEARDSELL-EQ,17933
WORTHPERI-EQ,22277
SHREECEM-EQ,3103
NILAINFRA-EQ,9253
LLOYDSENT-EQ,25807
BLACKBUCK-EQ,27144
LEXUS-EQ,14459
APEX-EQ,21623
IRB-EQ,15313
JYOTISTRUC-EQ,1802
LFIC-EQ,7902
NETF-EQ,7838
IBULLSLTD-EQ,24999
