trading_symbol,exchange_token
HMAAGRO-EQ,17053
FINEORG-EQ,3744
SASKEN-EQ,11983
TGBHOTELS-EQ,14607
MOHEALTH-EQ,10508
MODIRUBBER-EQ,2229
INVENTURE-EQ,24870
TVSSCS-EQ,18151
FORCEMOT-EQ,11573
INOXWIND-EQ,7852
ADVANIHOTR-EQ,14745
DOMS-EQ,20551
NEPHROPLUS-EQ,760346
MMTC-EQ,17957
TFCILTD-EQ,3466
ATLASCYCLE-EQ,4568
ENRIN-EQ,756871
INFY-EQ,1594
SHRINGARMS-EQ,759093
VIVIDHA-EQ,29877
BHARTIHEXA-EQ,23489
CARYSIL-EQ,1879
RADAAN-EQ,10932
MANAPPURAM-EQ,19061
DELTAMAGNT-EQ,1214
SIGNATURE-EQ,18743
MODINATUR-EQ,760277
GICHSGFIN-EQ,1139
SURAJEST-EQ,20822
ABINFRA-EQ,27020
IIFL-EQ,11809
AURIONPRO-EQ,12022
MONEYBOXX-EQ,759381
PICCADIL-EQ,757754
CESC-EQ,628
LIQUID-EQ,17572
SHAH-EQ,20296
ALEMBICLTD-EQ,79
GALLANTT-EQ,13337
LYKALABS-EQ,2028
NGIL-EQ,5401
DOLLAR-EQ,20560
ELGIRUBCO-EQ,24924
STARHEALTH-EQ,7083
GTECJAINX-EQ,1129
VIKASECO-EQ,25756
BHAGCHEM-EQ,6164
BALKRISHNA-EQ,10181
HDFCSILVER-EQ,10876
MEDANTA-EQ,11956
SBCL-EQ,4656
HAPPSTMNDS-EQ,48
BANARISUG-EQ,350
MBAPL-EQ,12686
SILVERBEES-EQ,8080
EQUAL200-EQ,30121
PAISALO-EQ,25468
CANBK-EQ,10794
JAMNAAUTO-EQ,20778
SIMPLEXINF-EQ,3162
CIPLA-EQ,694
MIDSMALL-EQ,23855
SATIN-EQ,10453
FIEMIND-EQ,13710
SETFNIF50-EQ,10176
RUCHIRA-EQ,13821
JIOFIN-EQ,18143
VMM-EQ,27969
MSTCLTD-EQ,9356
SOMICONVEY-EQ,17794
EUROBOND-EQ,757953
UNIINFO-EQ,7791
MAHESHWARI-EQ,9576
TATVA-EQ,5162
IDBI-EQ,1476
BCONCEPTS-EQ,7780
BHARTIARTL-EQ,10604
MEDPLUS-EQ,7254
WIPRO-EQ,3787
BEL-EQ,383
CYBERMEDIA-EQ,11842
BANSWRAS-EQ,14511
BODALCHEM-EQ,25017
HDFCMID150-EQ,14236
ITCHOTELS-EQ,29251
SDBL-EQ,1338
REGENCERAM-EQ,4130
GSS-EQ,15347
MFSL-EQ,2142
BERGEPAINT-EQ,404
ADVENTHTL-EQ,759769
MODTHREAD-EQ,2241
RITES-EQ,3761
HDFCBANK-EQ,1333
GROBTEA-EQ,17770
PREMIERENE-EQ,25049
TRIGYN-EQ,5428
AADHARHFC-EQ,23729
AMDIND-EQ,14398
GVPIL-EQ,7862
TATACONSUM-EQ,3432
ARROWGREEN-EQ,9260
PINELABS-EQ,759820
USK-EQ,14871
KOTARISUG-EQ,11647
ARTEMISMED-EQ,16913
GSPL-EQ,13197
DECCANCE-EQ,14838
KHAICHEM-EQ,896
SBIN-EQ,3045
TARC-EQ,1581
CELLO-EQ,19795
GOKULAGRO-EQ,14480
BSOFT-EQ,6994
FORTIS-EQ,14592
SMALL250-EQ,759814
STANLEY-EQ,24226
MOKSH-EQ,3586
KKCL-EQ,13381
KOPRAN-EQ,1919
VINCOFE-EQ,25835
ICICIBANK-EQ,4963
PERSISTENT-EQ,18365
FEDERALBNK-EQ,1023
SRGHFL-EQ,18119
JASH-EQ,13982
CONS-EQ,10512
63MOONS-EQ,11868
IDFNIFTYET-EQ,18783
VIYASH-EQ,14296
UNIDT-EQ,201
ELIN-EQ,13423
BLAL-EQ,15067
NDLVENTURE-EQ,14547
RKEC-EQ,1547
INDHOTEL-EQ,1512
AIIL-EQ,23553
IEX-EQ,220
VSTTILLERS-EQ,24292
DATAPATTNS-EQ,7358
ASIANPAINT-EQ,236
CGPOWER-EQ,760
IGARASHI-EQ,634
SINTERCOM-EQ,381
GOODLUCK-EQ,6125
IDEAFORGE-EQ,17140
PRIMO-EQ,756925
UTKARSHBNK-EQ,17358
BELRISE-EQ,757102
INDOTECH-EQ,13275
IGIL-EQ,28378
DONEAR-EQ,13839
MUKKA-EQ,22980
MIDCAPETF-EQ,8413
HDFCGOLD-EQ,19543
MARKOLINES-EQ,760204
MONEXT50-EQ,757167
INTERNET-EQ,758595
HONASA-EQ,19813
NEULANDLAB-EQ,2406
CYIENT-EQ,5748
ICICIAMC-EQ,760407
ENIFTY-EQ,759998
EPL-EQ,981
SCHAND-EQ,20698
SAATVIKGL-EQ,759057
SENSEXBETA-EQ,10515
VMSTMT-EQ,759152
REPRO-EQ,13126
HGINFRA-EQ,1672
KIRLOSIND-EQ,19025
HEADSUP-EQ,19205
LOWVOL1-EQ,8632
SHREEJISPG-EQ,759448
GROWWNIFTY-EQ,758697
NIFTY100EW-EQ,29944
GANESHHOU-EQ,14339
TOP20-EQ,760415
BOSCHLTD-EQ,2181
VAISHALI-EQ,16589
NIFTYBETA-EQ,10511
KSCL-EQ,14972
MARKSANS-EQ,10579
FOSECOIND-EQ,1073
JINDALPOLY-EQ,1756
GODIGIT-EQ,23799
VIJAYA-EQ,5585
HISARMETAL-EQ,19322
PIONEEREMB-EQ,13463
FLEXITUFF-EQ,25512
SIS-EQ,21501
LTIM-EQ,17818
EMULTIMQ-EQ,25996
HILINFRA-EQ,759103
SINDHUTRAD-EQ,16859
PIGL-EQ,15716
FINIETF-EQ,12578
LOWVOLIETF-EQ,21254
INDOFARM-EQ,29025
POKARNA-EQ,17651
ICEMAKE-EQ,489
THYROCARE-EQ,17032
CUPID-EQ,18520
HEROMOTOCO-EQ,1348
KEEPLEARN-EQ,778
MANCREDIT-EQ,24823
PTC-EQ,11355
LIQUIDSBI-EQ,19705
HCG-EQ,15555
ELECON-EQ,13643
JAIBALAJI-EQ,11256
BLSE-EQ,22566
ANIKINDS-EQ,16657
WELCORP-EQ,11821
SHYAMTEL-EQ,13740
FDC-EQ,4898
AVALON-EQ,15058
SEPC-EQ,15308
AMANTA-EQ,758909
UTTAMSUGAR-EQ,13376
PNGJL-EQ,25312
GILT5YBEES-EQ,3172
ROML-EQ,359
ESABINDIA-EQ,955
EVERESTIND-EQ,993
JPPOWER-EQ,11763
DELTACORP-EQ,15044
JSWINFRA-EQ,19020
NAVINFLUOR-EQ,14672
KRISHIVAL-EQ,756782
INNOVANA-EQ,27754
MOVALUE-EQ,10825
ZEEMEDIA-EQ,14003
PRSMJOHNSN-EQ,2739
GILT5BETA-EQ,22521
OLECTRA-EQ,10637
NEXT50BETA-EQ,21478
WEALTH-EQ,1923
BEDMUTHA-EQ,20196
HOMEFIRST-EQ,2056
HDFCSENSEX-EQ,11593
FCSSOFT-EQ,11999
SOUTHBANK-EQ,5948
MEIL-EQ,758748
PGHH-EQ,2535
IOC-EQ,1624
ZUARIIND-EQ,3827
JKIL-EQ,15266
ABLBL-EQ,756843
ACEINTEG-EQ,11779
ARISINFRA-EQ,757614
LIQUIDCASE-EQ,21750
HECPROJECT-EQ,7425
ITADD-EQ,17207
ECAPINSURE-EQ,29019
EXCELSOFT-EQ,760007
ETERNAL-EQ,5097
LOVABLE-EQ,22415
GRASIM-EQ,1232
SANGINITA-EQ,11032
IREDA-EQ,20261
SHOPERSTOP-EQ,11813
HNDFDS-EQ,12173
NEXT50ADD-EQ,760599
JKCEMENT-EQ,13270
RHETAN-EQ,759062
CUBEXTUB-EQ,4064
SUNDRMFAST-EQ,3345
GUFICBIO-EQ,11606
3MINDIA-EQ,474
IDEA-EQ,14366
GILLANDERS-EQ,17839
BLUESTARCO-EQ,8311
QUALITY30-EQ,757946
AXISCADES-EQ,9436
TTKPRESTIG-EQ,3546
QUICKHEAL-EQ,13116
HDFCSML250-EQ,14233
DPSCLTD-EQ,15419
VIRINCHI-EQ,15295
INDGN-EQ,23693
DHARMAJ-EQ,13001
DIFFNKG-EQ,25672
TEAMLEASE-EQ,12716
KELLTONTEC-EQ,13430
INTELLECT-EQ,5926
NAHARCAP-EQ,15360
FLEXIADD-EQ,759368
AVTNPL-EQ,14008
JSFB-EQ,22663
HDFCVALUE-EQ,11260
PRECAM-EQ,12603
HMVL-EQ,19211
VAL30IETF-EQ,25851
MOLDTKPAC-EQ,6713
SSDL-EQ,24856
ONEPOINT-EQ,9939
TECH-EQ,6462
BIGBLOC-EQ,18431
NIFTYQLITY-EQ,10690
DBREALTY-EQ,18124
DIGISPICE-EQ,16683
SHEKHAWATI-EQ,21095
SHARIABEES-EQ,17044
JNKINDIA-EQ,23621
BASF-EQ,368
SRHHYPOLTD-EQ,14582
LUMAXIND-EQ,2018
LATENTVIEW-EQ,6818
FISCHER-EQ,757658
CARRARO-EQ,28879
POCL-EQ,14385
SBILIQETF-EQ,758496
GPIL-EQ,13409
BALRAMCHIN-EQ,341
JKPAPER-EQ,11860
HUHTAMAKI-EQ,2562
GMBREW-EQ,1168
ASTRAMICRO-EQ,11618
VERTOZ-EQ,18863
CCHHL-EQ,6385
VIMTALABS-EQ,13101
GROWWCAPM-EQ,760051
ZUARI-EQ,29050
MSCIADD-EQ,759978
SHARDAMOTR-EQ,10530
NAHARINDUS-EQ,13106
TEXMOPIPES-EQ,18214
KARURVYSYA-EQ,1838
SMARTLINK-EQ,9889
ALBERTDAVD-EQ,17256
WAAREERTL-EQ,756038
CAPTRUST-EQ,19447
TOP15IETF-EQ,757781
MCLEODRUSS-EQ,11943
PATELRMART-EQ,759439
DIVOPPBEES-EQ,2636
GLOBALVECT-EQ,13735
RVHL-EQ,1565
AFCONS-EQ,25977
GROWWDEFNC-EQ,25758
BMWVENTLTD-EQ,759256
MANALIPETC-EQ,13796
ATULAUTO-EQ,30023
RHL-EQ,15157
RAILTEL-EQ,2431
MOSCHIP-EQ,29459
ALANKIT-EQ,9921
DMART-EQ,19913
MITTAL-EQ,18562
HINDOILEXP-EQ,1403
DIXON-EQ,21690
VIKRAN-EQ,758973
AXISILVER-EQ,11193
KOLTEPATIL-EQ,15124
PGEL-EQ,25358
GICRE-EQ,277
DBOL-EQ,10893
NIF100IETF-EQ,30392
GULFOILLUB-EQ,4391
TRENT-EQ,1964
REDTAPE-EQ,17859
TITAGARH-EQ,15414
AMBICAAGAR-EQ,11496
CPSEETF-EQ,2328
SMLT-EQ,6843
DAMCAPITAL-EQ,28662
ALPHAGEO-EQ,14597
ABDL-EQ,24308
SUPERHOUSE-EQ,20616
FABTECH-EQ,760125
MODIS-EQ,759752
YASHO-EQ,18131
INFRABEES-EQ,20072
SIGMA-EQ,16658
TRUALT-EQ,759210
PATELENG-EQ,11699
CONCOR-EQ,4749
DICIND-EQ,703
KRYSTAL-EQ,23175
XPROINDIA-EQ,11407
APCL-EQ,20453
HINDCOMPOS-EQ,1372
WHEELS-EQ,3766
DTIL-EQ,6227
ADANIENSOL-EQ,10217
INFOBEAN-EQ,11027
BPL-EQ,530
BBOX-EQ,3435
SHANKARA-EQ,20321
NOVAAGRI-EQ,22477
PTCIL-EQ,16682
GANESHBE-EQ,5614
NIPPOBATRY-EQ,6782
INDIGO-EQ,11195
SUDEEPPHRM-EQ,760039
INDIQUBE-EQ,757845
NAVA-EQ,4014
HTMEDIA-EQ,11979
CORALFINAC-EQ,4007
VINATIORGA-EQ,17364
ROSSELLIND-EQ,28913
ETHOSLTD-EQ,9750
TWCGOLDETF-EQ,760482
NARMADA-EQ,11627
CLSEL-EQ,3482
LYPSAGEMS-EQ,31468
AEGISLOG-EQ,40
LICI-EQ,9480
SURAJLTD-EQ,24966
CPPLUS-EQ,758858
INDIANCARD-EQ,4422
YATHARTH-EQ,17738
TTKHLTCARE-EQ,11369
MANUFGBEES-EQ,758667
VIKASLIFE-EQ,9931
KAYA-EQ,10276
RIIL-EQ,2912
SPORTKING-EQ,10733
MUNJALSHOW-EQ,2307
MOM100-EQ,21423
CHOICEGOLD-EQ,759610
NSIL-EQ,11239
ROLEXRINGS-EQ,5279
MBEL-EQ,758150
TARMAT-EQ,14771
MANGLMCEM-EQ,2106
FINKURVE-EQ,759239
MIDCAPADD-EQ,760356
PFOCUS-EQ,13496
BSL-EQ,559
SIYSIL-EQ,14096
PILITA-EQ,30835
UGARSUGAR-EQ,19578
VRAJ-EQ,24321
MOENERGY-EQ,759374
RKSWAMY-EQ,23043
SONAMLTD-EQ,8806
HIMATSEIDE-EQ,1360
ZIMLAB-EQ,12384
BFINVEST-EQ,21113
RUBYMILLS-EQ,2939
ASTRAZEN-EQ,5610
INDIASHLTR-EQ,20556
ACE-EQ,13587
AXISCETF-EQ,5732
MOBIKWIK-EQ,28046
CRISIL-EQ,757
NOCIL-EQ,2442
KALYANIFRG-EQ,15156
SNXT50BETA-EQ,9168
THEJO-EQ,19279
