symbol,company_name
FCL,FCL
FCSSOFT,FCSSOFT
FDC,FDC
FEDERALBNK,FEDERALBNK
FEDFINA,FEDFINA
FIBERWEB,FIBERWEB
FIEMIND,FIEMIND
FILATEX,FILATEX
FILATFASH,FILATFASH
FINCABLES,FINCABLES
FINEORG,FINEORG
FINIETF,FINIETF
FINKURVE,FINKURVE
FINOPB,FINOPB
FINPIPE,FINPIPE
FIRSTCRY,FIRSTCRY
FISCHER,FISCHER
FIVESTAR,FIVESTAR
FLAIR,FLAIR
FLEXIADD,FLEXIADD
FLEXITUFF,FLEXITUFF
FLUOROCHEM,FLUOROCHEM
FMCGIETF,FMCGIETF
FMGOETZE,FMGOETZE
FMNL,FMNL
FOCUS,FOCUS
FOODSIN,FOODSIN
FORCEMOT,FORCEMOT
FORTIS,FORTIS
FOSECOIND,FOSECOIND
FSL,FSL
FUSION,FUSION
GABRIEL,GABRIEL
GAEL,GAEL
GAIL,GAIL
GALAPREC,GALAPREC
GALAXYSURF,GALAXYSURF
GALLANTT,GALLANTT
GANDHAR,GANDHAR
GANDHITUBE,GANDHITUBE
GANECOS,GANECOS
GANESHBE,GANESHBE
GANESHCP,GANESHCP
GANESHHOU,GANESHHOU
GANGAFORGE,GANGAFORGE
GANGESSECU,GANGESSECU
GARFIBRES,GARFIBRES
GARUDA,GARUDA
GATECH,GATECH
GATECHDVR,GATECHDVR
GATEWAY,GATEWAY
GAYAHWS,GAYAHWS
GEECEE,GEECEE
GEEKAYWIRE,GEEKAYWIRE
GEMAROMA,GEMAROMA
GENCON,GENCON
GENESYS,GENESYS
GENUSPAPER,GENUSPAPER
GENUSPOWER,GENUSPOWER
GEOJITFSL,GEOJITFSL
GESHIP,GESHIP
GFLLIMITED,GFLLIMITED
GHCL,GHCL
GHCLTEXTIL,GHCLTEXTIL
GICHSGFIN,GICHSGFIN
GICRE,GICRE
GILLANDERS,GILLANDERS
GILLETTE,GILLETTE
GILT10BETA,GILT10BETA
GILT5BETA,GILT5BETA
GILT5YBEES,GILT5YBEES
GINNIFILA,GINNIFILA
GIPCL,GIPCL
GKENERGY,GKENERGY
GKSL,GKSL
GKWLIMITED,GKWLIMITED
GLAND,GLAND
GLAXO,GLAXO
GLENMARK,GLENMARK
GLOBALE,GLOBALE
GLOBALVECT,GLOBALVECT
GLOBE,GLOBE
GLOBECIVIL,GLOBECIVIL
GLOBUSSPR,GLOBUSSPR
GLOSTERLTD,GLOSTERLTD
GLOTTIS,GLOTTIS
GMBREW,GMBREW
GMDCLTD,GMDCLTD
GMMPFAUDLR,GMMPFAUDLR
GMRAIRPORT,GMRAIRPORT
GMRP&UI,GMRP&UI
GNA,GNA
GNFC,GNFC
GOACARBON,GOACARBON
GOCLCORP,GOCLCORP
GOCOLORS,GOCOLORS
GODAVARIB,GODAVARIB
GODFRYPHLP,GODFRYPHLP
GODIGIT,GODIGIT
GODREJAGRO,GODREJAGRO
GODREJCP,GODREJCP
GODREJIND,GODREJIND
GODREJPROP,GODREJPROP
GOKEX,GOKEX
GOKUL,GOKUL
GOKULAGRO,GOKULAGRO
GOLD1,GOLD1
GOLD360,GOLD360
GOLDADD,GOLDADD
GOLDBEES,GOLDBEES
GOLDBETA,GOLDBETA
GOLDBND,GOLDBND
GOLDCASE,GOLDCASE
GOLDETF,GOLDETF
GOLDIAM,GOLDIAM
GOLDIETF,GOLDIETF
GOLDTECH,GOLDTECH
GOODLUCK,GOODLUCK
GOPAL,GOPAL
GPIL,GPIL
GPPL,GPPL
GPTHEALTH,GPTHEALTH
GPTINFRA,GPTINFRA
GRANULES,GRANULES
GRAPHITE,GRAPHITE
GRASIM,GRASIM
GRAVITA,GRAVITA
GREAVESCOT,GREAVESCOT
GREENLAM,GREENLAM
GREENPANEL,GREENPANEL
GREENPLY,GREENPLY
GREENPOWER,GREENPOWER
GRINDWELL,GRINDWELL
GRINFRA,GRINFRA
GRMOVER,GRMOVER
GROBTEA,GROBTEA
GROWW,GROWW
GROWWCAPM,GROWWCAPM
GROWWCHEM,GROWWCHEM
GROWWDEFNC,GROWWDEFNC
GROWWEV,GROWWEV
GROWWGOLD,GROWWGOLD
GROWWLIQID,GROWWLIQID
GROWWLOVOL,GROWWLOVOL
GROWWMC150,GROWWMC150
GROWWMETAL,GROWWMETAL
GROWWMOM50,GROWWMOM50
GROWWN200,GROWWN200
GROWWNET,GROWWNET
GROWWNIFTY,GROWWNIFTY
GROWWNXT50,GROWWNXT50
GROWWPOWER,GROWWPOWER
GROWWRAIL,GROWWRAIL
GROWWRLTY,GROWWRLTY
GROWWSC250,GROWWSC250
GROWWSLVR,GROWWSLVR
