Trade Date,Symbol,Series,Security Name,Category,Last Trade Date,Face Value(Rs.),Issue Size,Close Price/Paid up value(Rs.),Market Cap(Rs.)              
05 FEB 2026,AKASH,EQ,AKASH INFRA-PROJECTS LTD ,Listed    ,05 FEB 2026,              10.00,          16862534,             24.50,      412963457.65     
05 FEB 2026,AKG,EQ,AKG EXIM LIMITED         ,Listed    ,05 FEB 2026,              10.00,          31776576,             14.05,      446778658.55       
05 FEB 2026,AKI,EQ,AKI INDIA LIMITED        ,Listed    ,05 FEB 2026,               2.00,         103205956,              6.40,      662582237.50       
05 FEB 2026,AKIKO,ST,AKIKO GLOBAL SERVICES L  ,Listed    ,05 FEB 2026,              10.00,          10769600,            206.00,     2218537600.00     
05 FEB 2026,AKSHAR,EQ,AKSHAR SPINTEX LIMITED   ,Listed    ,05 FEB 2026,               1.00,         787468500,              0.50,      401608935.00    
05 FEB 2026,AKSHARCHEM,EQ,AKSHARCHEM INDIA LIMITED ,Listed    ,05 FEB 2026,              10.00,           8033099,            221.15,     1776600174.85
05 FEB 2026,AKSHOPTFBR,EQ,AKSH OPTIFIBRE LIMITED   ,Listed    ,05 FEB 2026,               5.00,         162697971,              5.40,      875315084.00
05 FEB 2026,AKUMS,EQ,AKUMS DRUGS AND PHARMA L ,Listed    ,05 FEB 2026,               2.00,         157393988,            447.65,    70457418728.20     
05 FEB 2026,AKZOINDIA,EQ,AKZO NOBEL INDIA LIMITED ,Listed    ,05 FEB 2026,              10.00,          45540314,           2823.30,   128573968516.20 
05 FEB 2026,ALANKIT,EQ,ALANKIT LIMITED          ,Listed    ,05 FEB 2026,               1.00,         271158100,              9.60,     2603117760.00   
05 FEB 2026,ALBERTDAVD,EQ,ALBERT DAVID LIMITED     ,Listed    ,05 FEB 2026,              10.00,           5707162,            695.20,     3967619022.40
05 FEB 2026,ALCODIS,SM,ALCOKRAFT DISTILLERIE LTD,Listed    ,05 FEB 2026,              10.00,          10250000,             76.05,      779512500.00   
05 FEB 2026,ALEMBICLTD,EQ,ALEMBIC LIMITED          ,Listed    ,05 FEB 2026,               2.00,         256781828,             97.00,    24902701679.45
05 FEB 2026,ALGOQUANT,EQ,ALGOQUANT FINTECH LIMITED,Listed    ,05 FEB 2026,               1.00,         281096028,             60.50,    17003498733.70 
05 FEB 2026,ALICON,EQ,ALICON CASTALLOY LIMITED ,Listed    ,05 FEB 2026,               5.00,          16336840,            737.15,    12042701606.00    
05 FEB 2026,ALIVUS,EQ,ALIVUS LIFE SCIENCES LTD ,Listed    ,05 FEB 2026,               2.00,         122681348,            925.65,   113559989776.20    
05 FEB 2026,ALKALI,EQ,ALKALI METALS LTD        ,Listed    ,05 FEB 2026,              10.00,          10182506,             69.90,      711553519.30    
05 FEB 2026,ALKEM,EQ,ALKEM LABORATORIES LTD.  ,Listed    ,05 FEB 2026,               2.00,         119565000,           5662.50,   677036812500.00     
05 FEB 2026,ALKYLAMINE,EQ,ALKYL AMINES CHEM. LTD   ,Listed    ,05 FEB 2026,               2.00,          51143977,           1554.40,    79498197848.80
